Ticker,Name,Last Sale,2024 Ratio Stock/S&P500,2023 Ratio Stock/S&P500,2022 Ratio Stock/S&P500,2021 Ratio Stock/S&P500,2020 Ratio Stock/S&P500,Market Cap,Sector,Industry,Recommendation
A,Agilent Technologies Inc. Common Stock,$145.48,0.9516588608095464,0.6793793560779431,1.0563297062588586,1.0769130167065428,1.2862327749649831,42633682716.0,Industrials,Electrical Products,Average Performer
AA,Alcoa Corporation Common Stock ,$43.93,0.8631389343944247,0.6096430306990359,0.9332338487959072,1.9940339449100024,0.933359181317325,7888057094.0,Industrials,Aluminum,Bad Performer
AACG,ATA Creativity Global American Depositary Shares,$0.85,0.4890107499389612,0.6207223897071047,1.32806605152852,0.7040594887077978,0.7645583191023917,27200111.0,Real Estate,Other Consumer Services,Bad Performer
AADI,Aadi Bioscience Inc. Common Stock,$1.76,0.1976124286927814,0.1342740192150098,0.61835183372737,1.1905403386684716,1.328138881407763,43215401.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
AAGR,African Agriculture Holdings Inc. Common Stock,$0.40,0.0399855750138874,0.1249763736295752,1.2606515385301442,,,23146732.0,Consumer Staples,Farming/Seeds/Milling,Bad Performer
AAL,American Airlines Group Inc. Common Stock,$11.62,0.7850452169435017,0.85060129693929,0.8522446112007201,0.9216688799332368,0.4719406481852076,7623769797.0,Consumer Discretionary,Air Freight/Delivery Services,Bad Performer
AAMC,Altisource Asset Management Corp Com,$2.4749,0.0413944773460389,0.2796245476638243,,,,6322162.0,Finance,Real Estate,Bad Performer
AAN,Aarons Holdings Company Inc. Common Stock ,$7.23,0.4801790330559213,0.7709172228123365,0.5909850533251497,1.024144202499065,,221422712.0,Consumer Discretionary,Diversified Commercial Services,Bad Performer
AAOI,Applied Optoelectronics Inc. Common Stock,$11.98,4.957466669214131,8.015814738511187,0.4474488026040165,0.4555819772613862,0.5904960146566633,466117037.0,Technology,Semiconductors,Good Performer
AAON,AAON Inc. Common Stock,$74.87,0.9786399678873926,1.194417556327397,1.1982397226516206,0.9571675510086816,1.1694921677129912,6155008868.0,Industrials,Industrial Machinery/Components,Average Performer
AAP,Advance Auto Parts Inc.,$62.48,0.4944914110477298,0.329617497614708,0.8027463977564689,1.202269091279252,0.8651602977885277,3720749104.0,Consumer Discretionary,Auto & Home Supply Stores,Bad Performer
AAPL,Apple Inc. Common Stock,$190.29,0.8653025002073063,1.046238189186882,1.1772360453447408,0.9555977247432323,1.8345971906006455,2917922463780.0,Technology,Computer Manufacturing,Bad Performer
AAT,American Assets Trust Inc. Common Stock,$20.91,1.0087291110861665,0.6977179527216497,0.8829284952269609,1.097299906003135,0.5749909733962559,1273287225.0,Real Estate,Real Estate Investment Trusts,Average Performer
ABAT,American Battery Technology Company Common Stock,$1.36,0.0924634318588466,0.9733155441843188,0.3994259562580023,15.919359790220293,,79693461.0,Basic Materials,Metal Mining,Bad Performer
ABBV,AbbVie Inc. Common Stock,$154.79,0.9315190620614,0.7935874692794437,1.5195997842644131,1.0451803677445108,1.095277799723562,273338673821.0,Health Care,Biotechnology: Pharmaceutical Preparations,Average Performer
ABCB,Ameris Bancorp Common Stock,$46.96,1.25089582358461,0.9081750096643936,1.12939287278218,1.0182797918019346,0.791645843892048,3245276930.0,Finance,Major Banks,Good Performer
ABCL,AbCellera Biologics Inc. Common Shares,$4.08,0.4963757963689693,0.4868381764971073,0.8418077072429934,0.2839663294231177,,1180571937.0,Health Care,Pharmaceuticals and Biotechnology,Bad Performer
ABEO,Abeona Therapeutics Inc. Common Stock,$4.06,1.246668309043644,1.559033101230254,0.3878112471498203,0.1562067358661625,0.4242208717600846,167215176.0,Health Care,Biotechnology: Pharmaceutical Preparations,Good Performer
